Nom de l'élu;Prénom de l'élu;Code sexe;Date de naissance;Code de la catégorie socio-professionnelle;Libellé de la catégorie socio-professionnelle;Date de début du mandat
JOUVET;Pierre;M;06/10/1986;33;Cadre de la fonction publique;16/07/2024
KALFON;François;M;11/06/1968;31;Profession libérale;16/07/2024
KELLER;Fabienne;F;20/10/1959;38;Ingénieur et cadre technique d'entreprise;16/07/2024
KNAFO;Sarah;F;24/04/1993;33;Cadre de la fonction publique;16/07/2024
LALUCQ;Aurore;F;17/04/1979;33;Cadre de la fonction publique;16/07/2024
LAURENT;Murielle;F;21/09/1977;45;Profession intermédiaire administrative de la fonction publique;16/07/2024
LE CALLENNEC;Isabelle;F;14/10/1966;37;Cadre administratif et commercial d'entreprise;16/07/2024
LEGGERI;Fabrice;M;28/03/1968;33;Cadre de la fonction publique;16/07/2024
LEONARDELLI;Julien;M;14/07/1987;33;Cadre de la fonction publique;16/07/2024
LOISEAU;Nathalie;F;01/06/1964;33;Cadre de la fonction publique;16/07/2024
MARIANI;Thierry;M;08/08/1958;33;Cadre de la fonction publique;16/07/2024
MARÉCHAL;Marion;F;10/12/1989;33;Cadre de la fonction publique;16/07/2024
MEBAREK;Nora;F;22/07/1972;33;Cadre de la fonction publique;16/07/2024
MESURE;Marina;F;12/07/1989;33;Cadre de la fonction publique;16/07/2024
MORANO;Nadine;F;06/11/1963;72;Ancien artisan, commerçant, chef d'entreprise;16/07/2024
NIKOLIC;Aleksandar;M;04/10/1986;33;Cadre de la fonction publique;16/07/2024
OLIVIER;Philippe;M;30/08/1961;37;Cadre administratif et commercial d'entreprise;16/07/2024
OMARJEE;Younous;M;30/09/1969;33;Cadre de la fonction publique;16/07/2024
PELLERIN-CARLIN;Thomas;M;05/11/1989;34;Professeur, profession scientifique;16/07/2024
PELTIER;Guillaume;M;27/08/1976;33;Cadre de la fonction publique;16/07/2024
PENNELLE;Gilles;M;20/07/1962;33;Cadre de la fonction publique;16/07/2024
PIERA;Pascale;F;23/02/1967;33;Cadre de la fonction publique;16/07/2024
PIMPIE;Pierre;M;10/09/1971;33;Cadre de la fonction publique;16/07/2024
RAFOWICZ;Emma;F;24/06/1995;84;Elève, étudiant;16/07/2024
RECHAGNEUX;Julie;F;24/01/1996;37;Cadre administratif et commercial d'entreprise;16/07/2024
RIDEL;Chloé;F;25/11/1991;33;Cadre de la fonction publique;16/07/2024
ROUGÉ;André;M;23/12/1961;85;Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité);16/07/2024
SAEIDI;Arash;M;25/05/1975;23;Chef d'entreprise de 10 salariés ou plus;16/07/2024
SANCHEZ;Julien;M;19/10/1983;33;Cadre de la fonction publique;16/07/2024
SARGIACOMO;Eric;M;31/10/1969;33;Cadre de la fonction publique;16/07/2024
SATOURI;Mounir;M;25/05/1975;33;Cadre de la fonction publique;16/07/2024
SBAI;Majdouline;F;10/09/1977;34;Professeur, profession scientifique;16/07/2024
SMITH;Anthony;M;03/04/1975;33;Cadre de la fonction publique;16/07/2024
SOREL;Malika;F;07/08/1962;35;Profession de l'information, des arts et des spectacles;16/07/2024
THIONNET;Pierre-Romain;M;19/01/1994;33;Cadre de la fonction publique;16/07/2024
TOLASSY;Rody;M;21/09/1987;31;Profession libérale;16/07/2024
TOUSSAINT;Marie;F;27/05/1987;37;Cadre administratif et commercial d'entreprise;16/07/2024
TROCHU;Laurence;F;04/07/1973;85;Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité);16/07/2024
VALET;Matthieu;M;04/01/1986;53;Policier et militaire;16/07/2024
VARAUT;Alexandre;M;18/01/1966;31;Profession libérale;16/07/2024
WERBROUCK;Séverine;F;31/10/1970;22;Commerçant et assimilé;28/09/2024
YON-COURTIN;Stéphanie;F;28/03/1974;31;Profession libérale;16/07/2024
